title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Побег из Шоушенка,1994,142,['Drama'],9.3,2751184,16+,82,28341469
Тёмный рыцарь,2008,152,"['Action', 'Crime', 'Drama']",9.0,2723913,14+,84,534858444
Начало,2010,148,"['Action', 'Adventure', 'Sci-Fi']",8.8,2417730,12+,74,292576195
Бойцовский клуб,1999,139,['Drama'],8.8,2190763,18+,66,37030102
Форрест Гамп,1994,142,"['Drama', 'Romance']",8.8,2140265,0+,82,330252182
Криминальное чтиво,1994,154,"['Crime', 'Drama']",8.9,2113490,18+,95,107928762
Матрица,1999,136,"['Action', 'Sci-Fi']",8.7,1961329,16+,73,171479930
Властелин колец: Братство кольца,2001,178,"['Action', 'Adventure', 'Drama']",8.8,1918844,12+,92,315544750
Интерстеллар,2014,169,"['Adventure', 'Drama', 'Sci-Fi']",8.7,1916682,12+,74,188020017
Крёстный отец,1972,175,"['Crime', 'Drama']",9.2,1913731,16+,100,134966411
Властелин колец: Возвращение короля,2003,201,"['Action', 'Adventure', 'Drama']",9.0,1890236,12+,94,377845905
Тёмный рыцарь: Возрождение легенды,2012,164,"['Action', 'Drama', 'Thriller']",8.4,1744590,12+,78,448139099
Властелин колец: Две крепости,2002,179,"['Action', 'Adventure', 'Drama']",8.8,1706027,12+,87,342551365
Семь,1995,127,"['Crime', 'Drama', 'Mystery']",8.6,1701148,18+,65,100125643
Джанго освобожденный,2012,165,"['Drama', 'Western']",8.4,1602670,18+,81,162805434
Гладиатор,2000,155,"['Action', 'Adventure', 'Drama']",8.5,1538692,18+,67,187705427
Бэтмен: Начало,2005,140,"['Action', 'Crime', 'Drama']",8.2,1505767,12+,70,206852432
Бесславные ублюдки,2009,153,"['Adventure', 'Drama', 'War']",8.3,1494855,18+,69,120540719
Молчание ягнят,1991,118,"['Crime', 'Drama', 'Thriller']",8.6,1470095,18+,86,130742922
Волк с Уолл-стрит,2013,180,"['Biography', 'Comedy', 'Crime']",8.2,1466836,18+,75,116900694
Спасти рядового Райана,1998,169,"['Drama', 'War']",8.6,1425947,16+,91,216540909
Мстители,2012,143,"['Action', 'Sci-Fi']",8.0,1417921,12+,69,623279547
Звёздные войны. Эпизод 4: Новая надежда,1977,121,"['Action', 'Adventure', 'Fantasy']",8.6,1395795,0+,90,322740140
Список Шиндлера,1993,195,"['Biography', 'Drama', 'History']",9.0,1387378,16+,95,96898818
Престиж,2006,130,"['Drama', 'Mystery', 'Sci-Fi']",8.5,1366945,12+,66,53089891
Остров проклятых,2010,138,"['Mystery', 'Thriller']",8.2,1364115,16+,63,128012934
Джокер,2019,122,"['Crime', 'Drama', 'Thriller']",8.4,1358733,18+,59,335451311
Отступники,2006,151,"['Crime', 'Drama', 'Thriller']",8.5,1358666,16+,85,132384315
